Número,Marcas,Domínios,"símbolo ""18+""","aviso ""proibido para menores de 18 anos""",Jogue com responsabilidade,Apostas são atividades com riscos de perdas financeiras.,Apostar pode levar à perda de dinheiro.,As chances são de que você está prestes a perder,Aposta não é investimento.,Apostar pode causar dependência.,Apostas esportivas: pratique o jogo seguro.,Apostar não deixa ninguém rico.,Saiba quando apostar e quando parar.,Aposta é assunto para adultos.,Informação Clara (acesso direto pelo usuário),Ostensiva (chama atenção do usuário),Proporcional (minimo 10%),Destacada (contraste com a cor de fundo),Site acessado em DD/MM/AAAA
1,1 PRA 1,1pra1.bet,,,,,,,,,,,,,,,,,
2,1xBet,1xBet.com,,,,,,,,,,,,,,,,,
3,1xcassinos,1xCasino.com,,,,,,,,,,,,,,,,,
4,Bet365,365sb.com,,,,,,,,,,,,,,,,,
5,4play,4play.bet,,,,,,,,,,,,,,,,,
6,6r,6r.com,,,,,,,,,,,,,,,,,
7,7 Games,7games.bet,,,,,,,,,,,,,,,,,
8,9d,9d.com,,,,,,,,,,,,,,,,,
9,9f,9f.com,,,,,,,,,,,,,,,,,
10,A247,a247.com,,,,,,,,,,,,,,,,,
11,acelerabet,acelerabet.com,,,,,,,,,,,,,,,,,
12,Afun,afun.com,,,,,,,,,,,,,,,,,
13,Alfa.bet,alfa.bet.br,,,,,,,,,,,,,,,,,
14,Amabet,amabet.bet,,,,,,,,,,,,,,,,,
15,Anima Bet,anima.bet,,,,,,,,,,,,,,,,,
16,Aposta 1,aposta1.com,,,,,,,,,,,,,,,,,
17,Aposta365,aposta365.com,,,,,,,,,,,,,,,,,
18,Aposta Ganha,apostaganha.bet,,,,,,,,,,,,,,,,,
19,Apostamax,apostamax.bet,,,,,,,,,,,,,,,,,
20,ApostaOnline,apostaonline.com,,,,,,,,,,,,,,,,,
21,ApostaTudo,apostatudo.bet,,,,,,,,,,,,,,,,,
22,Apostou,apostou.com,,,,,,,,,,,,,,,,,
23,Apostou Ganhou,apostouganhou.com.br,,,,,,,,,,,,,,,,,
24,Apuesta360,Apuesta360.com,,,,,,,,,,,,,,,,,
25,ArenaPlus,arenaplus.net.ph,,,,,,,,,,,,,,,,,
26,b1.bet,b1.bet,,,,,,,,,,,,,,,,,
27,B2X,b2xbet.net,,,,,,,,,,,,,,,,,
28,Bacana Play,bacanaplay.com.br,,,,,,,,,,,,,,,,,
29,Bandbet,bandbet.com,,,,,,,,,,,,,,,,,
30,Bankbet,bankbet.com.br,,,,,,,,,,,,,,,,,
31,BateuBet,bateubet.com,,,,,,,,,,,,,,,,,
32,BestBet,bestbet.com.br,,,,,,,,,,,,,,,,,
33,bet.app,bet.app,,,,,,,,,,,,,,,,,
34,Bet.bet,bet.bet,,,,,,,,,,,,,,,,,
35,Bet365,bet365.com,,,,,,,,,,,,,,,,,
36,Bet4,Bet4.com,,,,,,,,,,,,,,,,,
37,Bet7k,bet7k.com,,,,,,,,,,,,,,,,,
38,betagora,betagora.io,,,,,,,,,,,,,,,,,
39,Bet Aki,betaki.com,,,,,,,,,,,,,,,,,
40,Betao,betao.com,,,,,,,,,,,,,,,,,
41,Betboo,betboo.com,,,,,,,,,,,,,,,,,
42,betboom,betboom.com,,,,,,,,,,,,,,,,,
43,BetBra,bet-bra.com,,,,,,,,,,,,,,,,,
44,BetCopa,betcopa.com,,,,,,,,,,,,,,,,,
45,BetdaSorte,betdasorte.com,,,,,,,,,,,,,,,,,
